nohup: ignoring input
/root/ot_image_refactored/model/text_guided_sde.py:144: SyntaxWarning: invalid escape sequence '\i'
  """用于在损失函数中计算 \int ||v_t||^2 dt"""
/root/miniconda3/lib/python3.12/site-packages/clip/clip.py:137: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  state_dict = torch.load(model_path, map_location="cpu")
[VAE] 正在从本地加载权重: /root/autodl-tmp/sd-vae-ft-mse
[CLIP] 正在物理强制加载本地权重文件: /root/autodl-tmp/clip/RemoteCLIP-ViT-L-14.pt
🚀 Started Training: V35_TextGuided_ENOT_Base | Logs: /root/autodl-tmp/runs/V35_TextGuided_ENOT_Base/tb_logs
Epoch [4/100] (eps=0.0100) [750/852] |█████████████████---| G=1.1735 D=-0.0252 dir=0.0662 nc=9.6992 [0.39s/it]
Epoch [4/100] (eps=0.0100) [800/852] |██████████████████--| G=1.2194 D=-0.2892 dir=0.0490 nc=11.0042 [0.38s/it]
Epoch [4/100] (eps=0.0100) [850/852] |███████████████████-| G=1.4019 D=-0.5159 dir=0.0485 nc=11.0859 [0.38s/it]
Epoch [4/100] (eps=0.0100) [852/852] |████████████████████| G=2.0037 D=-0.6737 dir=0.0491 nc=11.8254 [0.36s/it]
Epoch [5/100] (eps=0.0125) [050/852] |█-------------------| G=1.4513 D=-0.5961 dir=0.0629 nc=11.1675 [0.38s/it]
Epoch [5/100] (eps=0.0125) [100/852] |██------------------| G=2.5523 D=-0.9338 dir=0.0720 nc=10.0100 [0.44s/it]
Epoch [5/100] (eps=0.0125) [150/852] |███-----------------| G=1.2680 D=-0.2541 dir=0.0541 nc=10.7701 [0.38s/it]
Epoch [5/100] (eps=0.0125) [200/852] |████----------------| G=1.5648 D=0.6922 dir=0.0455 nc=11.5484 [0.38s/it]
Epoch [5/100] (eps=0.0125) [250/852] |█████---------------| G=3.1328 D=-0.5247 dir=0.0618 nc=13.5249 [0.39s/it]
Epoch [5/100] (eps=0.0125) [300/852] |███████-------------| G=2.2023 D=-0.1891 dir=0.0630 nc=11.6748 [0.39s/it]
Epoch [5/100] (eps=0.0125) [350/852] |████████------------| G=1.5701 D=-0.2880 dir=0.0478 nc=10.3842 [0.38s/it]
Epoch [5/100] (eps=0.0125) [400/852] |█████████-----------| G=2.6738 D=0.1033 dir=0.0614 nc=14.6275 [0.39s/it]
Epoch [5/100] (eps=0.0125) [450/852] |██████████----------| G=1.2469 D=0.3216 dir=0.0629 nc=11.9622 [0.38s/it]
Epoch [5/100] (eps=0.0125) [500/852] |███████████---------| G=0.7945 D=0.0694 dir=0.0477 nc=10.1271 [0.37s/it]
Epoch [5/100] (eps=0.0125) [550/852] |████████████--------| G=1.9467 D=-0.4924 dir=0.0623 nc=14.7205 [0.38s/it]
Epoch [5/100] (eps=0.0125) [600/852] |██████████████------| G=2.2244 D=-0.4964 dir=0.0728 nc=12.2756 [0.45s/it]
Epoch [5/100] (eps=0.0125) [650/852] |███████████████-----| G=1.5343 D=0.2993 dir=0.0478 nc=10.4345 [0.38s/it]
Epoch [5/100] (eps=0.0125) [700/852] |████████████████----| G=1.8963 D=-0.5820 dir=0.0379 nc=13.5960 [0.38s/it]
Epoch [5/100] (eps=0.0125) [750/852] |█████████████████---| G=2.1739 D=-0.7008 dir=0.0351 nc=14.0004 [0.38s/it]
Epoch [5/100] (eps=0.0125) [800/852] |██████████████████--| G=0.7233 D=1.1858 dir=0.0564 nc=9.7850 [0.38s/it]
Epoch [5/100] (eps=0.0125) [850/852] |███████████████████-| G=3.0529 D=-1.5684 dir=0.0617 nc=11.5568 [0.38s/it]
Epoch [5/100] (eps=0.0125) [852/852] |████████████████████| G=1.3088 D=0.6263 dir=0.0650 nc=12.6890 [0.36s/it]
Epoch [6/100] (eps=0.0150) [050/852] |█-------------------| G=2.7294 D=-0.7543 dir=0.0546 nc=11.1612 [0.39s/it]
Epoch [6/100] (eps=0.0150) [100/852] |██------------------| G=2.3280 D=-0.2942 dir=0.0532 nc=11.7459 [0.39s/it]
Epoch [6/100] (eps=0.0150) [150/852] |███-----------------| G=2.5357 D=-0.0845 dir=0.0690 nc=14.4432 [0.38s/it]
Epoch [6/100] (eps=0.0150) [200/852] |████----------------| G=2.5463 D=-0.0925 dir=0.0470 nc=14.5251 [0.39s/it]
Epoch [6/100] (eps=0.0150) [250/852] |█████---------------| G=1.6680 D=-0.3168 dir=0.0469 nc=12.5318 [0.46s/it]
Epoch [6/100] (eps=0.0150) [300/852] |███████-------------| G=1.9259 D=-0.4158 dir=0.0613 nc=12.3068 [0.39s/it]
Epoch [6/100] (eps=0.0150) [350/852] |████████------------| G=1.5073 D=0.5292 dir=0.0640 nc=10.3105 [0.39s/it]
Epoch [6/100] (eps=0.0150) [400/852] |█████████-----------| G=3.1115 D=-1.7477 dir=0.0000 nc=12.0561 [0.38s/it]
Epoch [6/100] (eps=0.0150) [450/852] |██████████----------| G=2.5506 D=-0.1104 dir=0.0741 nc=14.7770 [0.38s/it]
Epoch [6/100] (eps=0.0150) [500/852] |███████████---------| G=1.9334 D=-0.3851 dir=0.0524 nc=9.8602 [0.38s/it]
Epoch [6/100] (eps=0.0150) [550/852] |████████████--------| G=2.0263 D=-0.4970 dir=0.0427 nc=13.0517 [0.38s/it]
Epoch [6/100] (eps=0.0150) [600/852] |██████████████------| G=2.3900 D=-0.5222 dir=0.0363 nc=14.4596 [0.38s/it]
Epoch [6/100] (eps=0.0150) [650/852] |███████████████-----| G=2.6187 D=-0.4234 dir=0.0452 nc=13.3311 [0.38s/it]
Epoch [6/100] (eps=0.0150) [700/852] |████████████████----| G=1.5231 D=-0.3482 dir=0.0555 nc=11.7770 [0.39s/it]
Epoch [6/100] (eps=0.0150) [750/852] |█████████████████---| G=3.4600 D=-1.1918 dir=0.0325 nc=14.0062 [0.45s/it]
